target_id	name
Q961787	Bryan-Michael Cox
Q885561	blue-eyed soul
Q5262422	Derek Vanlint
Q1261214	television special
Q14866186	ligand-dependent nuclear receptor transcription coactivator activity
Q8270626	Category:Torso
Q1115533	flammable object
Q2747327	Steve Jolliffe
Q289452	Torrey Botanical Society
Q917144	Philistinism
Q7034249	Category:Musical scales
Q33506254	Zespół dworski
Q3631718	BBC Radio One Live in Concert
Q365012	Mario Costa
Q450714	Heavy D
Q592248	Kitt Peak National Observatory
Q65769881	pokryv desek vazby
Q864979	National Anthem of the Republic of China
Q212829	Saint George's Day
Q272667	Çatak
Q7081663	Ojrzanów, Masovian Voivodeship
Q24901194	Schwarzenegger
Q3157301	Jack Richardson
Q23662424	four-year, full-time, inclusive, lower transfer-in
Q24138509	ATP-independent periplasmic chaperone b1743
Q2301647	Sonja Jeannine
Q9352089	spy
Q4168966	Mikhail Druyan
Q5256163	Demolition
Q238045	Kari Wührer
Q17335679	Radar Pictures
Q33192	Chickasaw
Q1811175	Prestige
Q2216478	Sam Gilliam
Q930924	bodice
Q11525776	Tokyo Metropolitan Road Route 29
Q199855	national emblem of Turkey
Q5121512	Circles
Q685955	This Is Not
Q2911787	cavalry tactics
Q12355425	South Pacific
Q16741364	Timbaland & Magoo
Q975410	Yorgos Lanthimos
Q29706192	nxf-2
Q16960787	Live in the Classic City
Q2527066	Príncipe Pío
Q6435556	Kołuda Mała
Q901882	interface
Q32999504	Zespół dworski
Q739633	BAFTA Award for Best Sound
Q1006	Guinea
Q30252155	Mechanisms Linking Colorectal Cancer to the Consumption of (Processed) Red Meat: A Review.
Q2628830	Park Avenue Tunnel
Q353994	Frank Butler
Q6099299	Nazan Kesal
Q1999762	Normand Corbeil
Q27717713	Asian-Pacific population programme news
Q41500	root
Q2442401	record company
Q917891	Roncesvalles
Q10720045	Wikngenchera
Q47517773	LC_TIME
Q2078661	Peter Thorwarth
Q42488567	Immune regulation of canine tumour and macrophage PD-L1 expression.
Q15229207	sports award
Q2594	Theodor Heuss
Q2248128	Ruda Maleniecka
Q7332913	Ridin' High
Q21155149	bridge pile
Q964581	Different Gear, Still Speeding
Q31752631	Batyala
Q264914	Jorge Garcia
Q106175	John Cusack
Q1047516	Sega Mega-CD
Q1323618	Tangerine Dream
Q59950087	C-CAP
Q11525758	Tokyo Metropolitan Road Route 226
Q7177644	Peter Wellington
Q13284452	Category:People from Rome, New York
Q2813828	Banshee
Q4259151	Vladimir Lepko
Q26001232	dark-type Pokémon move
Q66743	Puducherry
Q1486	Buenos Aires
Q261997	William Cameron Menzies
Q7683901	Tanu Roy
Q16805138	Category:Bangor and Aroostook Railroad
Q60581683	Louiza Kostoula
Q5201852	Czechoslovak Air Force
Q431289	brand
Q121375	Fritz Odemar
Q23348651	DNA-3-methyladenine glycosidase I PSPTO_0183
Q1151519	embryonic stem cell
Q344490	İzmir Province
Q6073056	Iron tests
Q131364	New York Knicks
Q6318196	Category:Star (keelboat)
Q3479547	Serge Thiriet
Q622425	nightclub
Q6125665	Jakubowice, Kędzierzyn-Koźle County
Q3257	Amalthea
Q6847308	Mike Hoover
Q11887121	Pekka Kainulainen
Q2308478	Buzz!: Quiz TV
Q345844	crew
Q1425151	Academy Award for Best Documentary (Short Subject)
Q6055890	funding
Q2058654	Lowell Sherman
Q3913339	Nzakara
Q142259	hospital bed
Q807248	Baran
Q4649826	AACTA Award for Best Sound
Q20180983	Kompanie
Q1408498	Ocean Software
Q1431686	Spirou
Q2190251	arts centre
Q17706	Daphnis
Q935735	Ron Jones
Q1587677	Prime Minister of France
Q1378760	Twenty-eight mansions
Q12397176	parish of Galicia
Q735373	Gavriil Kharitonovich Popov
Q66055	fraction
Q7355195	Rockets Redglare
Q2904440	Birds in the Spring
Q130754	2004 Indian Ocean earthquake
Q18250357	Elk3
Q29976450	Zespół dworski
Q8030306	Wolkowo, Leszno County
Q11707	restaurant
Q508359	Nona Gaye
Q1004435	athletics track
Q371866	Radoszewice
Q7445907	Seen the Light
Q29598113	Perfect Day
Q2903755	Billy West
Q58458705	Holocene and deglacial ocean temperature variability in the Benguela upwelling region: Implications for low-latitude atmospheric circulation
Q541744	Clube Atlético Bragantino
Q372222	human-readable medium
Q2927155	Bryan Gordon
Q17154798	洛格农村居民点
Q226730	silent film
Q63388966	Bacini
Q37524062	Johannes
Q1207735	Tokyo City
Q5036514	captain
Q2839628	Early Roman Republic
Q53953611	Insolation values for the climate of the last 10 million years
Q5278573	Gidi Gov
Q1141242	Sukima Switch
Q50701	variable
Q12953757	Isthmus-Cosoleacaque Nahuatl
Q18608986	Wild Sugar Cane, Jamaica
Q1476080	Private Media Group
Q35498	Chester A. Arthur
Q5587490	Gossip
Q18046442	RIN3
Q11668273	shogi piece
Q265290	Kimberley Joseph
Q26717101	conductor
Q24288454	NEMA 1-15
Q26906266	Ivan
Q12544	Byzantine Empire
Q4008465	vampire in Buffyverse
Q211557	bequest
Q22129264	Suchmos
Q7286855	Rakówka, Greater Poland Voivodeship
Q701443	Elisabeth
Q1305008	Eugen Jegorov
Q8081026	Łukowo, Oborniki County
Q6419119	Kiyoshi Saitō
Q24377650	Cd3eap
Q435964	Russian system of units
Q56144	Yates County
Q284521	Bijinga
Q2155148	polychoron
Q131293	Mardin Province
Q132781	torture
Q17147769	Laura Vaccaro Seeger
Q174782	square
Q24722170	Mog1/PsbP, alpha/beta/alpha sandwich
Q1366411	Mihimaru GT
Q1421616	Marti Noxon
Q24773738	Cadherin-like superfamily
Q190238	Norwegian Broadcasting Corporation
Q948656	Mohács  District
Q1067358	Charlotte Sting
Q21470266	Nanzan Kōryō
Q7431504	Schisms
Q1891982	Nordisk Film
Q1156634	ice cream cone
Q1204623	Deutscher Bauernverband
Q177567	Amazon rainforest
Q5387362	Eric Richter
Q2991840	snap music
Q80837	supernatural
Q1353679	University of Nebraska–Lincoln
Q9830	Drimmelen
Q12131624	city ​​in Ukraine
Q48865033	Friends
Q1666720	Peter Suschitzky
Q5335361	Ed Sahely
Q23301854	PG certificate
Q31110209	Zespół dworski
Q87941	Carl Möhner
Q16157029	Honky Tonk Badonkadonk
Q21507948	former village
Q5079420	Charles James
Q12524062	Wanita
Q6114583	Jack Perrin
Q30090817	Zespół pałacowy
Q9251	Puppis
Q82044	Cisie-Zagrudzie
Q21187062	Passageways
Q50414326	Maryana Ro
Q2982867	Hirschsprung Collection
Q308	Mercury
Q8083090	Żarki Średnie
Q2165739	Ronald Sanders
Q80789057	Sarmīte Balode
Q7959489	Wagaydy language
Q21105422	motile cilium assembly
Q3068944	King Priam
Q2400020	function hall
Q66269	Rorschacherberg
Q58854504	Batta Batta: Kejserens Gave
Q1054679	laurea
Q848944	merchant vessel
Q7811835	Toby Litt
Q2264148	Jehane Noujaim
Q30876	Yash Chopra
Q7413643	San Diego Film Critics Society Award for Best Actress
Q55334530	heraldic rodent
Q5210264	Dalborowice
Q6456046	L'étoile de Seville
Q3501317	fashion designer
Q42589412	Far Western Muria language
Q2192220	Promise This
Q718622	Frunzik Mkrtchyan
Q18345	S/2004 S 6
Q67175872	thriller television series
Q162555	oncology
Q16831394	mammalogist
Q7028998	Category:Crickets
Q727904	Cedric Gibbons
Q7171825	Pete Anderson
Q14038597	Friedrich
Q178659	illustration
Q66310125	nonbiological component
Q844059	New Girl
Q373384	Noel Purcell
Q4563817	segmental writing system
Q17342660	View of Dordrecht
Q3855215	Merry Christmas, Baby
Q190122	promissory note
Q3149995	Indecent Proposal
Q6901939	Monorails and Satellites
Q6827774	Miastowice
Q17492996	Le Jugement de Pâris
Q32981958	Zespół dworsko-folwarczny
Q8522057	Category:Hood College
Q2966	Heidelberg
Q676	prose
Q56742504	tRIP
Q5612177	Grupo Aeroportuario del Pacífico
Q22302623	regulation of hemocyte proliferation
Q774228	requirement
Q1974312	cleaning product
Q15697994	What Turns You On?
Q42999	Pieve Emanuele
Q146123	poly(methyl methacrylate)
Q2312410	sports discipline
Q30280310	Mossakowski Medical Research Centre
Q47911335	gauge
Q3218051	Larry Gamell Jr.
Q20962117	iPhone 6S
Q76483	Rainer Maria Rilke
Q5213331	Żaków
Q501331	Wood County
Q1914035	Frank van den Eeden
Q16144963	Tokyo Metropolitan Road and Saitama Prefectural Road Route 58
Q8005943	William Brittelle
Q4351208	Górowo, Olsztyn County
Q3351855	Björn Gustafsson
Q28979056	British American Tobacco (Germany)
Q16275947	George Washington
Q26963135	Missin U
Q230335	Katee Sackhoff
Q251266	SAGE Publishing
Q1051843	neo-progressive rock
Q3101481	George Chandler
Q11640130	進化論 (SOPHIAのアルバム)
Q642481	Saint Croix
Q849965	broadside
Q1457423	mobile ticketing
Q3703456	David di Donatello for Best European Film
Q452321	Emanuel Leutze
Q6289570	Joshiy
Q12714767	Mesquakie language
Q2020161	Ed Stoppard
Q641007	Krojczyn
Q100166	Orkney Islands
Q712827	Alain Sarde
Q10470289	Dhargari
Q50845910	Echo
Q7970355	Warren Lieberstein
Q10675206	ingredient
Q30091102	Zespół dworski
Q1313980	Ultimate Mortal Kombat 3
Q2006459	Edward LeSaint
Q17524364	water polo player
Q239177	Lennon–McCartney
Q824487	Gordon Wolf
Q11780112	Miedziana
Q11329081	Patrick Adiarte
Q623109	sports league
Q22296153	compound eye photoreceptor cell differentiation
Q7509602	Siedlce, Lubin County
Q37394	Melanesia
Q6967555	Nassau Coliseum, Uniondale, NY: 5/1/73
Q1894185	Alwington
Q709280	Arthur Streeton
Q22918917	Joe Passaro
Q12953920	Rana Tharu
Q4970516	British National Films Company
Q918448	denomination
Q2083958	pattern
Q320459	German Chancellery in Berlin
Q6872580	Mirage
Q3614809	An Evening with Il Divo: Live in Barcelona
Q8063673	Zabłocie, Rawa County
Q424370	polyolefin
Q4820879	Augusta
Q2522363	Victor Gollancz Ltd
Q29753240	si:ch211-51h9.6
Q368398	Henri Lachambre
Q178237	Chris de Burgh
Q18389440	Edwin G Lucas
Q2132070	Koszelew
Q1282992	A. R. Murugadoss
Q74836239	P. B. Abery photographic collection
Q6653424	Litzlitz
Q795360	Thief: Deadly Shadows
Q1172040	Amyntor
Q6141909	Spies Like Us
Q17004810	seal
Q385757	Rudno, Otwock County
Q1070151	Ora
Q1427408	Play
Q123080	Blaise Cendrars
Q229018	Jewel
Q373064	Aitor Karanka
Q16898	Helike
Q2537	natural satellite
Q796	Iraq
Q16222684	Charles Irwin
Q3881639	Olga Vittoria Gentilli
Q188648	Raven-Symoné
Q1255275	Miklós Salusinszky
Q585348	Short Stack
Q3997173	stock trader
Q348066	Jack O'Connell
Q984276	court painter
Q2631033	Charłupia Wielka
Q16835747	Estrella
Q14644396	The Golden Triangle
Q192088	Eton College
Q1200750	description
Q30683	Beni Suef Governorate
Q13292702	carbon-silicon family
Q7225788	Polly Dunbar
Q18694588	Member of the United States House of Representatives from Virginia
Q11525759	Tokyo Metropolitan Road Route 227
Q7798468	Through the Looking Glass
Q319	Jupiter
Q3339203	Next Year in Zion
Q23476128	Septum formation topological specificity factor Pro_0362
Q653763	Wilcze Laski
Q674925	induced pluripotent stem cell
Q837500	THEMIS
Q24773819	Resolvase, HTH domain
Q3303627	Oud Gastel
Q230686	Shiri Appleby
Q63537289	Jaitmatang language
Q2604329	Fascination Records
Q11525714	Tokyo Metropolitan Road Route 155
Q2094087	Michael Mayer
Q911398	Slovak Greek Catholic Church
Q1394606	Mount Kibo
Q679745	Koźmin Wielkopolski
Q7264976	Pęckowo, Szamotuły County
Q372103	electronic body music
Q6772792	Marranj language
Q5061548	Central Ojibwa
Q12953935	Copala Triqui
Q7962267	Walker Hayes
Q3959633	Shiro chronicle
Q4182287	web search engine
Q29976033	Zespół dworski
Q15219655	civil town of Wisconsin
Q56255706	Paramount Stage 9
Q43325	Salzburg
Q11525878	Tokyo Metropolitan Shinjuku Fukutoshin Line 5
Q1972712	South Taranaki District
Q27180886	Date
Q17523829	Frank Rajah Arase
Q352010	David S. Goyer
Q519998	Scata
Q65642222	Category:Face
Q19958886	Emma Bading
Q40475	Joan Crawford
Q22279186	Aseem Merchant
Q7974142	waterhole
Q21500480	Temple
Q294126	land surveyor
Q5328206	Edgar S. Woolard, Jr.
Q19984738	Domenico Forges-Davanzati
Q258636	Villiers-sur-Marne
Q28065951	Dinah Jane Hansen
Q7444568	section
Q853414	Cappadocian Greek
Q3417236	Rafael Lewandowski
Q2466889	hydraulic structure
Q2605546	Wesley Wyndam-Pryce
Q378277	Ferdinand Verbiest
Q13311873	Kategorie:Baumwollgewebe
Q773663	Latton, Wiltshire
Q5544917	Levan Akin
Q27910031	Pyotr Dukhovskoy
Q47911922	string texture
Q1024065	Wanquetin
Q269645	Doug E. Fresh
Q101091	Manuela Stehr
Q82042	word class
Q1939421	Salomé – The Seventh Veil
Q58821062	Cleaning Out The Closet
Q41336722	אאוסטראלײה
Q11034997	nychthemeron
Q33226	speech-language pathology
Q1530022	religious organization
Q6991213	Nemo Studios
Q29976303	Zespół dworski
Q45594	greeting
Q4213	telescope
Q318326	Abeking & Rasmussen
Q17028813	Revolver Entertainment
Q9282182	Grzegorz Wojdon
Q4727155	Alison Pargeter
Q1002697	periodical
Q14863370	Gast
Q111861	Georg Krause
Q15442823	Jemma Powell
Q14865821	nuclear envelope
Q3570203	Wydawnictwo Literackie
Q15570	The Chinese University of Hong Kong
Q186569	Yambol
Q313092	Trevor Horn
Q30564327	Zespół pałacowy
Q6998853	Category:England international footballers
Q1520	Nur-Sultan
Q4120896	Northern Region
Q1635542	Linnean Medal
Q220723	Ken Livingstone
Q7807482	Timothy Reckart
Q667659	funk metal
Q5551050	Category:Physical universe
Q131520	Academy Award for Best Cinematography
Q1519493	rock forming minerals
Q1134039	Naoto Nakamura
Q246618	Shelly Manne
Q1590700	Schutzerdung
Q22513	Zhu De
Q11988389	Marius Neset
Q12500209	Nayato Fio Nuala
Q326393	Harald Rosenløw Eeg
Q2422014	Thornton-le-Dale
Q296955	oil paint
Q5388757	Erik Orton
Q214604	zero of a function
Q25372	drama
Q30095406	Zespół pałacowy
Q56441403	Joann M. McDermid
Q433903	Claudio Gora
Q11525771	Tokyo Metropolitan Road Route 248
Q11200540	From a smalltown
Q18270344	Trim9
Q67268	Christian Petzold
Q34640	English Channel
Q260177	Sprague Grayden
Q1865	Kuala Lumpur
Q107805	Uwe Bohm
Q986614	Gałąźnia Mała
Q7575909	Spells
Q28980109	B
Q729590	Fontana
Q8084438	Braeburn Capital
Q17297633	architectural heritage monument in Bavaria
Q161358	wing
Q7618403	Stojanów, Łódź Voivodeship
Q17070143	Loma Vista Recordings
Q14707792	Sequoiadendron
Q41797344	UDP-glucose/GDP-mannose dehydrogenase, C-terminal domain superfamily
Q742799	Philippe Lioret
Q7075628	Obórki, Opole Voivodeship
Q5061	East Nusa Tenggara
Q3290370	The Other Two
Q643290	RATP
Q157802	Margrave
Q27303911	fictional perissodactyla
Q47539204	Firefly: The Game – Kalidasa Expansion
Q17275817	Cows reflected in the water
Q994399	simplicial complex
Q64995428	Willis Ikedum
Q77252933	A twopence youth
Q4352842	Andrei Blaier
Q5179647	Josef Bek
Q3959459	Shigeru Kōyama
Q3972943	publishing
Q76753471	Sergey Fedorchenko
Q24768154	STAR protein, homodimerisation region
Q17420457	Category:Human back
Q22074616	Shendu
Q1060737	RIM-116 Rolling Airframe Missile
Q523420	Sebastian de Souza
Q180958	faculty
Q2383208	Kinnauri
Q11597365	Kūchū buranko
Q59727732	C-CAP
