embedding_name,configuration,clue,word0ForClue,word1ForClue,blueWord0,blueWord1,blueWord2,blueWord3,blueWord4,blueWord5,blueWord6,blueWord7,blueWord8,blueWord9,redWord0,redWord1,redWord2,redWord3,redWord4,redWord5,redWord6,redWord7,redWord8,redWord9
gloveWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",station,tower,train,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
gloveWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",july,march,rose,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
gloveWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",vehicles,car,fire,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
gloveWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",important,well,key,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
gloveWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",resort,alps,hotel,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
gloveWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",cancer,disease,heart,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
gloveWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",feet,foot,cliff,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
gloveWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",deal,contract,oil,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
gloveWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",ankle,game,calf,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
gloveWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",airliner,jet,pan,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
fasttextWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",station,tower,train,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
fasttextWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",problem,bug,root,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
fasttextWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",insect,spider,bug,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
